127.0.0.1 - - [29/May/2018:11:08:57 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/ HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/css/vague.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/js/vague.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/js/jquery.easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/js/throttleDebounce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /vague/js/jquery.rwdImageMaps.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/GoHomeAction.action;jsessionid=A272BDBFD52257430DCF537592D75053 HTTP/1.1" 200 7301
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/js/home.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/LogoImage/retrievalLogo.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/LogoImage/headerLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/BackgroundImage/homeBackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/LogoImage/productList.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:08:59 +0900] "GET /vague/LogoImage/scrollTop.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/VagueLogoOuter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/VagueLogoInner.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/mycart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/Login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/footerChair.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/footerSofa.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/footerTable.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:00 +0900] "GET /vague/LogoImage/footerLighting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:11:09:03 +0900] "GET /vague/BackgroundImage/homeBackgroundLighting.jpg HTTP/1.1" 304 -
