127.0.0.1 - - [17/May/2018:10:02:43 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:52 +0900] "GET /vague/ HTTP/1.1" 200 1236
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:52 +0900] "GET /vague/css/vague.css HTTP/1.1" 200 7341
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:52 +0900] "GET /vague/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:52 +0900] "GET /vague/js/jquery.easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:52 +0900] "GET /vague/js/throttleDebounce.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:52 +0900] "GET /vague/js/vague.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:53 +0900] "GET /vague/BackgroundImage/homeBackground.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:59 +0900] "GET /vague/GoHomeAction.action;jsessionid=8824BD245DF510F3D837939D35562DAC HTTP/1.1" 200 4635
0:0:0:0:0:0:0:1 - - [17/May/2018:10:02:59 +0900] "GET /vague/css/vague.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:03:00 +0900] "GET /vague/css/home.css HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [17/May/2018:10:03:00 +0900] "GET /vague/LogoImage/retrievalLogo.jpeg HTTP/1.1" 200 904
0:0:0:0:0:0:0:1 - - [17/May/2018:10:03:00 +0900] "GET /vague/LogoImage/headerLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:10:03:00 +0900] "GET /vague/LogoImage/Login.png HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [17/May/2018:10:03:00 +0900] "GET /vague/LogoImage/mypage.png HTTP/1.1" 404 1071
